departamento;municipio;puesto;mujeres;hombres;total;mesas;comuna;dirección
BOLIVAR;CARTAGENA;CENTRO COMERCIAL BOCAGRANDE;3880;3511;7391;23;01LOC. 1 HISTORICA Y DEL CARIBE;CR 2 NO 8-146 BOCAGRANDE AV SAN MARTIN
BOLIVAR;CARTAGENA;UNIV. TECNOLG. DE BOLIVAR - MA;6154;5280;11434;35;01LOC. 1 HISTORICA Y DEL CARIBE;CLL DEL BOUQUET CR 21 NO. 25-92 MANGA
BOLIVAR;CARTAGENA;LUDOTECA PARQUE CENTENARIO;575;810;1385;5;01LOC. 1 HISTORICA Y DEL CARIBE;GETSEMANI, CLL 32 No 7-120, PQ CENTENARIO
BOLIVAR;CARTAGENA;COL. EUCARÍSTICO DE SANTA TERESA;3432;2705;6137;19;01LOC. 1 HISTORICA Y DEL CARIBE;Manga, Calle 27 No. 24-21
BOLIVAR;CARTAGENA;CENTRO COMERCIAL PLAZA BOCAGRANDE;3785;4498;8283;25;01LOC. 1 HISTORICA Y DEL CARIBE;CRA 1 No 12 - 118
BOLIVAR;CARTAGENA;COLEGIO DE LA ESPERANZA;3248;4588;7836;24;01LOC. 1 HISTORICA Y DEL CARIBE;CLL 63 NO 02-04 CRESPO
BOLIVAR;CARTAGENA;COLEGIO NAVAL DE CRESPO;4428;6073;10501;32;01LOC. 1 HISTORICA Y DEL CARIBE;AV 9A CLL 72 BARRIO MILIT CRESPO
BOLIVAR;CARTAGENA;COLEGIO EL CARMELO;522;3526;4048;13;01LOC. 1 HISTORICA Y DEL CARIBE;CLL 66 NO 4-73 CRESPO
BOLIVAR;CARTAGENA;COLEGIO BERVELLY HILLS;3403;3030;6433;20;01LOC. 1 HISTORICA Y DEL CARIBE;CRESPO CRA 2 No 77-71
BOLIVAR;CARTAGENA;COLEGIO LICEO BOLIVAR;4736;3573;8309;25;01LOC. 1 HISTORICA Y DEL CARIBE;CR 17 NO 71-25 DANIEL LEMAITRE
BOLIVAR;CARTAGENA;IE STA MARIA SEDE SAGRADO CORAZON;6160;3503;9663;29;01LOC. 1 HISTORICA Y DEL CARIBE;CR 16 No 67-50 DANIEL LEMAITRE
BOLIVAR;CARTAGENA;I.E.CORAZON DE MARIA;4625;2929;7554;23;01LOC. 1 HISTORICA Y DEL CARIBE;SAN FRANCISCO FRENTE AL CAI CRA 19 No 77-29
BOLIVAR;CARTAGENA;IE CORAZON DE MARIA S S J CLAV;1759;2929;4688;15;01LOC. 1 HISTORICA Y DEL CARIBE;SAN FRANCISCO CRA 19 No 77-30
BOLIVAR;CARTAGENA;I.E SANTA MARIA SD MARCO FIDEL SUAREZ;2924;2629;5553;17;01LOC. 1 HISTORICA Y DEL CARIBE;BARRIO SANTA MARIA CLL 70 No 70-41
BOLIVAR;CARTAGENA;COLISEO CUBIERTO BERNARDO CARABALLO;5506;5549;11055;34;01LOC. 1 HISTORICA Y DEL CARIBE;CRA17 No 35-119
BOLIVAR;CARTAGENA;COLEGIO JOSE DE LA VEGA;6854;5452;12306;37;01LOC. 1 HISTORICA Y DEL CARIBE;CLL 54 NO 17 - 102 TORICES
BOLIVAR;CARTAGENA;IE HER. ANTONIO RAMOS DE LA SALLE;2192;2123;4315;13;01LOC. 1 HISTORICA Y DEL CARIBE;CLL NUEVA DEL ESPINAL NO 34-392 ESPINAL
BOLIVAR;CARTAGENA;INST. ED. ANA MARIA VELEZ DE TRUJILLO;3982;3417;7399;23;01LOC. 1 HISTORICA Y DEL CARIBE;TORICES, SECT SANTA RITA CRA 16 # 17-53
BOLIVAR;CARTAGENA;CORP UNIVERSITARIA RAFAEL NUÑEZ TORICES;393;313;706;3;01LOC. 1 HISTORICA Y DEL CARIBE;TORICES CRA 17 No 35-117
BOLIVAR;CARTAGENA;C.ECON. PIEDRA DE BOL UNIV. C/GENA;5749;4997;10746;33;01LOC. 1 HISTORICA Y DEL CARIBE;AV CONSULADO CLL 30 NO 48-152 PIEDRA DE BOLIVAR
BOLIVAR;CARTAGENA;COLEGIO COMFENALCO SEDE CEDESARROLLO;4514;4450;8964;27;01LOC. 1 HISTORICA Y DEL CARIBE;DG 30 No 50-187 ZARAGOCILLA SECT EL CAIRO
BOLIVAR;CARTAGENA;INST. ED. MADRE LAURA;3421;2631;6052;19;01LOC. 1 HISTORICA Y DEL CARIBE;PIEDRA BOLIVAR CLL 30 NRO. 50 - 136
BOLIVAR;CARTAGENA;SENA 4 VIENTOS;2504;2360;4864;15;01LOC. 1 HISTORICA Y DEL CARIBE;AV. PEDRO DE HEREDIA SECT TESCA
BOLIVAR;CARTAGENA;I E CASD MANUELA BELTRAN;1563;1333;2896;9;01LOC. 1 HISTORICA Y DEL CARIBE;AV PEDRO DE HEREDIA CLL 31 No 57-106
BOLIVAR;CARTAGENA;IE NUEVO BOSQUE;8216;7137;15353;46;01LOC. 1 HISTORICA Y DEL CARIBE;TR 53 NO 23A-104 MZ I URB BARLOVENTO
BOLIVAR;CARTAGENA;COL ALBERTO ELIAS FERNANDEZ;5161;5318;10479;32;01LOC. 1 HISTORICA Y DEL CARIBE;DG 21A 47-49 AV BUENOS AIRES BOSQUE
BOLIVAR;CARTAGENA;I.E NUEVO BOSQUE SEDE JOSE MARIA CORDOBA;4134;3528;7662;23;01LOC. 1 HISTORICA Y DEL CARIBE;NUEVO BOSQUE 1RA ETAPA TRANSV 47 A NRO 29E - 12
BOLIVAR;CARTAGENA;INST. ED. FERNANDO DE LA VEGA;2183;1998;4181;13;01LOC. 1 HISTORICA Y DEL CARIBE;BOSQUE DIAG. 21C NRO 53-40
BOLIVAR;CARTAGENA;E. NORMAL SUPERIOR DE CARTAGENA D INDIAS;3081;2522;5603;17;01LOC. 1 HISTORICA Y DEL CARIBE;NUEVO BOSQUE KRA 51 #23-35
BOLIVAR;CARTAGENA;UNIVERSIDAD DEL SINU SEDE PLAZA COLON;2110;1757;3867;12;01LOC. 1 HISTORICA Y DEL CARIBE;AV EL BOSQUE TRANSVERSAL 54  No 30 729
BOLIVAR;CARTAGENA;IE SAN JUAN DE DAMASCO;5749;5740;11489;35;01LOC. 1 HISTORICA Y DEL CARIBE;AMBERES 1ER CALLEJON CR 41 NO 26C 38
BOLIVAR;CARTAGENA;IE OLGA GONZALEZ ARRAUT;5151;4281;9432;29;01LOC. 1 HISTORICA Y DEL CARIBE;DG 22 NO 52-14 AV CRISANTO LUQUE
BOLIVAR;CARTAGENA;IE MANUELA BELTRAN - SED HIJOS;2887;2231;5118;16;01LOC. 1 HISTORICA Y DEL CARIBE;BARRIO CHILE MZ 75 LOTE 1
BOLIVAR;CARTAGENA;SEMINARIO CARTAGENA;2200;1984;4184;13;01LOC. 1 HISTORICA Y DEL CARIBE;ALCIBIA CLL 38 NRO 29 - 60
BOLIVAR;CARTAGENA;UNIVERSIDAD ANTONIO NARIÑO;2654;2470;5124;16;01LOC. 1 HISTORICA Y DEL CARIBE;AV CRISANTO LUQUE DIAG 22
BOLIVAR;CARTAGENA;COLEGIO LATINOAMERICANO;695;670;1365;5;01LOC. 1 HISTORICA Y DEL CARIBE;B. PARAGUAY TRANS 45 No 26A 116 AV DEL ACUEDUCTO
BOLIVAR;CARTAGENA;FUNDACION COLEGIO OCTAVIANA DEL C VIVES;130;79;209;1;01LOC. 1 HISTORICA Y DEL CARIBE;AMBERES CALLE 30 No 39 80
BOLIVAR;CARTAGENA;UNIV DE CARTAGENA CLAUSTRO SAN AGUSTIN;7150;3482;10632;32;01LOC. 1 HISTORICA Y DEL CARIBE;CR 6 36-100 CTRO CLL DE LA UNIVERSIDAD
BOLIVAR;CARTAGENA;COL SALESIANOS SAN PEDRO CLAVE;1417;4589;6006;18;01LOC. 1 HISTORICA Y DEL CARIBE;CLL40 NO 09-80 LAS BOVEDAS BARRIO SN DIEGO
BOLIVAR;CARTAGENA;IE ANTONIA SANTOS;5390;5187;10577;32;01LOC. 1 HISTORICA Y DEL CARIBE;CLL 31 NO18B131 PLAYON GRANDE PIE DE LA POPA
BOLIVAR;CARTAGENA;UNIV. DE CARTAGENA CLAUSTRO LA MERCED;539;528;1067;4;01LOC. 1 HISTORICA Y DEL CARIBE;KR 5 # 38-40 - CENTRO
BOLIVAR;CARTAGENA;FUNDACION UNIVERSITARIA LOS LIBERTADORES;3294;3099;6393;20;01LOC. 1 HISTORICA Y DEL CARIBE;PIE DE LA POPA, CALLE 31 No 19 -51
BOLIVAR;CARTAGENA;INST UNIVERSITARIA MAYOR DE CARTAGENA;9276;121;9397;29;01LOC. 1 HISTORICA Y DEL CARIBE;CTRO.KR3 #34 -29 CL DE LA FACTORIA
BOLIVAR;CARTAGENA;INST UNI BELLAS ARTES Y CIENCIAS DE BOL.;45;4996;5041;16;01LOC. 1 HISTORICA Y DEL CARIBE;KR 9 #39-12 SAN DIEGO
BOLIVAR;CARTAGENA;ESCUELAS PROFESIONALES SALESIANAS;330;4248;4578;14;01LOC. 1 HISTORICA Y DEL CARIBE;Cra. 9 # 39-60 ? CALLE DE LAS BOVEDAS CENTRO
BOLIVAR;CARTAGENA;IE FE Y ALEGRIA LAS GAVIOTAS;7693;6721;14414;44;02LOC. 2  LA VIRGEN Y TURISTICA;TR 65 NO 31-111 LAS GAVIOTAS ENTRADA P.PAL
BOLIVAR;CARTAGENA;IE LAS GAVIOTAS SEDE MOISES GO;2819;2426;5245;16;02LOC. 2  LA VIRGEN Y TURISTICA;LAS GAVIOTAS MZ 33 LOTE 8 ETAPA 2ª
BOLIVAR;CARTAGENA;I.E. LAS GAVIOTAS SEDE EL NIÑO JESUS;3087;2622;5709;18;02LOC. 2  LA VIRGEN Y TURISTICA;MZNA 70 LOT 3 ETAPA 2 GAVIOTAS
BOLIVAR;CARTAGENA;CENTRO DE ENSEÑANZA HIJOS DE BOLIVAR;3702;3097;6799;21;02LOC. 2  LA VIRGEN Y TURISTICA;LOS ALPES URB 13 DE JUNIO DG 32 No 70-75
BOLIVAR;CARTAGENA;IE FOCO ROJO;6303;5809;12112;37;02LOC. 2  LA VIRGEN Y TURISTICA;CR 50 NO 32-47 AV PEDRO ROMERO OLAYA
BOLIVAR;CARTAGENA;COLEGIO ALMIRANTE COLON S. OLAYA;4314;4029;8343;25;02LOC. 2  LA VIRGEN Y TURISTICA;OLAYA SECTOR RICAURTE CARRERA 31D  #60 47
BOLIVAR;CARTAGENA;I.E. PLAYAS DE ACAPULCO;3186;2868;6054;19;02LOC. 2  LA VIRGEN Y TURISTICA;LIBANO AVE PEDRO ROMERO ESQUINA 48 C 60
BOLIVAR;CARTAGENA;IE. NUESTRA SEÑORA PERPETUO SOCORRO;3472;3141;6613;20;02LOC. 2  LA VIRGEN Y TURISTICA;Cl JUAN C ARANGO Kra 49 31 - 55
BOLIVAR;CARTAGENA;IE REPUBLICA DEL LIBANO;224;174;398;2;02LOC. 2  LA VIRGEN Y TURISTICA;AV. PEDRO ROMERO SEC EL LIBANO CLL 31 D No 54 84
BOLIVAR;CARTAGENA;IE SAN FELIPE NERIS;367;291;658;2;02LOC. 2  LA VIRGEN Y TURISTICA;CL YANES CRA 57 No 56-65 OLAYA HERRERA SEC RICAUR
BOLIVAR;CARTAGENA;IE FRANCISCO DE PAULA SANTANDE;4958;4716;9674;29;02LOC. 2  LA VIRGEN Y TURISTICA;CR 36 NO 33A 52 LA MARIA
BOLIVAR;CARTAGENA;IE MARIA REINA;3564;3367;6931;21;02LOC. 2  LA VIRGEN Y TURISTICA;CR 29 NO 37-38 LA ESPERANZA
BOLIVAR;CARTAGENA;ESCUELA CIUDAD DE TUNJA;4948;4538;9486;29;02LOC. 2  LA VIRGEN Y TURISTICA;CLL 32C NO 37-32 CLL DEL MEDIO ALCIBIA
BOLIVAR;CARTAGENA;I.E. CORAZON DE MARIA - LAZARO MARTINEZ;1589;1404;2993;9;02LOC. 2  LA VIRGEN Y TURISTICA;LA MARIA SECTOR LOS CORALES CARRERA 34 CALLE 52
BOLIVAR;CARTAGENA;I.E. ANTONIO NARIÑO;3485;3045;6530;20;02LOC. 2  LA VIRGEN Y TURISTICA;LA ESPERANZA  CALLE ALFONSO LOPEZ No. 29-35
BOLIVAR;CARTAGENA;I.E. PEDRO ROMERO;2761;2207;4968;15;02LOC. 2  LA VIRGEN Y TURISTICA;ALCIBIA AV PEDRO ROMERO CL 31 # 34-39
BOLIVAR;CARTAGENA;IE OMAIRA SANCHEZ;1127;852;1979;6;02LOC. 2  LA VIRGEN Y TURISTICA;BARRIO LA CANDELARIA CRA 40 No 44  01
BOLIVAR;CARTAGENA;CDI CIENAGA DE LA VIRGEN;78;83;161;1;02LOC. 2  LA VIRGEN Y TURISTICA;CRA 49 No 37 A - 218 VIA PERIMETRAL
BOLIVAR;CARTAGENA;IE CAMILO TORRES;9143;6510;15653;47;02LOC. 2  LA VIRGEN Y TURISTICA;CR 89 LOTE 13 MZ 49 POZON
BOLIVAR;CARTAGENA;CENTRO COLOMBIATON GUSTAVO PULECIO;5577;5716;11293;34;02LOC. 2  LA VIRGEN Y TURISTICA;MZ 1 LOTE 1 FLOR DEL CAMPO
BOLIVAR;CARTAGENA;IE LA LIBERTAD;5272;4662;9934;30;02LOC. 2  LA VIRGEN Y TURISTICA;EL POZON TRANV 60 M 89 L 7 CALLEJON 6
BOLIVAR;CARTAGENA;IE NUESTRO ESFUERZO;3671;3114;6785;21;02LOC. 2  LA VIRGEN Y TURISTICA;POZON SC SAGRADO CORAZON DE JESUS
BOLIVAR;CARTAGENA;IE CLEMENTE MANUEL ZABALA;1831;1601;3432;11;02LOC. 2  LA VIRGEN Y TURISTICA;FLOR DEL CAMPO CARRETERA DE LA CORDIALIDAD MZ 7
BOLIVAR;CARTAGENA;IE JORGE GARCIA USTA;3248;2460;5708;18;02LOC. 2  LA VIRGEN Y TURISTICA;BICENTENARIO,MZA 77 SECTOR No 77 - 01
BOLIVAR;CARTAGENA;ESCUELA GABRIELA SAN MARTIN;7934;6514;14448;44;02LOC. 2  LA VIRGEN Y TURISTICA;CLL 33 NO 77-48 OLAYA
BOLIVAR;CARTAGENA;COL FE Y ALEGRIA LAS AMERICAS;5747;5193;10940;33;02LOC. 2  LA VIRGEN Y TURISTICA;CR 84 NO 32B-152 SECT NVO PARAISO OLAYA
BOLIVAR;CARTAGENA;CENTRO CULTURAL LAS PALMERAS;3629;3145;6774;21;02LOC. 2  LA VIRGEN Y TURISTICA;LAS PALMERAS D 77 No 55B-68
BOLIVAR;CARTAGENA;IE DE FREDONIA;3628;3162;6790;21;02LOC. 2  LA VIRGEN Y TURISTICA;FREDONIA CLL 46 CRA 79-05
BOLIVAR;CARTAGENA;COLEGIO DIOS ES AMOR CDA;393;282;675;3;02LOC. 2  LA VIRGEN Y TURISTICA;VILLA ESTRELLA TRANSV 54 No 80- 863
BOLIVAR;CARTAGENA;IE TECNICA VILLA ESTRELLA;341;266;607;2;02LOC. 2  LA VIRGEN Y TURISTICA;CALLE 36 No 91-15 VILLA ESTRELLA SEC PRADO
BOLIVAR;CARTAGENA;IE FULGENCIO LEQUERICA VELEZ;3411;3509;6920;21;02LOC. 2  LA VIRGEN Y TURISTICA;CHIQUINQUIRA MZ 56 LOTE 1
BOLIVAR;CARTAGENA;NUESTRA SEÑORA DEL CARMEN;4615;3830;8445;26;02LOC. 2  LA VIRGEN Y TURISTICA;CHIQUINQUIRA AV PEDRO DE HEREDIA CLL 31C No 56-191
BOLIVAR;CARTAGENA;IE FULGENCIO LEQUERICA VELEZ-  ECUADOR;3408;2700;6108;19;02LOC. 2  LA VIRGEN Y TURISTICA;OLAYA HERRERA SECTOR CENTRAL CLL 31 D NRO 60B-56
BOLIVAR;CARTAGENA;FUND. UNIV. COLOMBO INTERNACIONAL;3696;3089;6785;21;02LOC. 2  LA VIRGEN Y TURISTICA;AV PEDRO DE HEREDIA SEC. 4 VIENTOS KRA 50 No 31-50
BOLIVAR;CARTAGENA;COLEGIO INEM;6273;5154;11427;35;03LOC.3 INDUSTRIAL DE LA BAHIA;AV DEL BOSQUE TRANSV. 54 No 30-570
BOLIVAR;CARTAGENA;CENT RECREACIONAL NAPOLEON PEREA;4320;4278;8598;26;03LOC.3 INDUSTRIAL DE LA BAHIA;TR 54 NO 44-25 CARRET BOSQUE
BOLIVAR;CARTAGENA;IE JOSE M RODRIGUEZ S ISABEL LA CATOLICA;4197;3469;7666;23;03LOC.3 INDUSTRIAL DE LA BAHIA;ALMIRANTE COLON MZ O LOTE 18 ETAPA 2
BOLIVAR;CARTAGENA;IE JOSE MANUEL R-JARDIN INF  CARACOLES;1522;1298;2820;9;03LOC.3 INDUSTRIAL DE LA BAHIA;LOS CARACOLES TRANSV. 55 No. 22C -110 II ETAPA
BOLIVAR;CARTAGENA;IE 20 DE JULIO;5732;5172;10904;33;03LOC.3 INDUSTRIAL DE LA BAHIA;CR 58A NO 8-86 BARRIO 20 DE JULIO
BOLIVAR;CARTAGENA;IE BERTHA GEDEON DE BALADI;4687;4278;8965;27;03LOC.3 INDUSTRIAL DE LA BAHIA;CLL 12 CR 58 ESQ ET 7 CAMPESTRE
BOLIVAR;CARTAGENA;COLEGIO ALMIRANTE COLON  VISTA HERMOSA;3689;3114;6803;21;03LOC.3 INDUSTRIAL DE LA BAHIA;VISTA HERMOSA CARRERA 60 D N. 20 58
BOLIVAR;CARTAGENA;IE SALIM BECHARA SEDE ALBORNOZ;737;629;1366;5;03LOC.3 INDUSTRIAL DE LA BAHIA;BARRIO ALBORNOZ CRA 50 CALLE 2   40
BOLIVAR;CARTAGENA;IE LUIS CARLOS LOPEZ;5690;5007;10697;33;03LOC.3 INDUSTRIAL DE LA BAHIA;MZ I LOTE 11 ET 2 SECT COMER-BLAS DE LEZO
BOLIVAR;CARTAGENA;IE TERNERA;4494;4068;8562;26;03LOC.3 INDUSTRIAL DE LA BAHIA;CLL DEL PARAISO NO32D-47 TERNERA
BOLIVAR;CARTAGENA;IE SOLEDAD ACOSTA DE SAMPER;2066;1711;3777;12;03LOC.3 INDUSTRIAL DE LA BAHIA;BLAS DE LEZO SEGUNDA ETAPA SECTOR COMERCIAL
BOLIVAR;CARTAGENA;UNIVERSIDAD SAN BUENAVENTURA;6824;5666;12490;38;03LOC.3 INDUSTRIAL DE LA BAHIA;CALLE REAL DE TERNERA DIAG. 32 No 30-966
BOLIVAR;CARTAGENA;COLEGIO BIFFI;2040;1726;3766;12;03LOC.3 INDUSTRIAL DE LA BAHIA;BARRIO LA PROVIDENCIA CRA 71 No 31A  248
BOLIVAR;CARTAGENA;CENTRO COMERCIAL PARQUE HEREDIA;1384;1089;2473;8;03LOC.3 INDUSTRIAL DE LA BAHIA;DIAG 32 No80-966 SUPER MANZANA 5 LOTE 1
BOLIVAR;CARTAGENA;COL FE Y ALEGRIA EL PROGRESO;5175;4272;9447;29;03LOC.3 INDUSTRIAL DE LA BAHIA;CLL5 NO 68-25 SN.PEDRO MARTIR SECT PROGRESO
BOLIVAR;CARTAGENA;IE SAN FRANCISCO ASIS - HIJO DE LOS AGRI;4494;4482;8976;27;03LOC.3 INDUSTRIAL DE LA BAHIA;ARROZ BARATO VIA MAMONAL CARRET CR 3NO 8-71
BOLIVAR;CARTAGENA;IE SAN LUCAS;1979;1668;3647;11;03LOC.3 INDUSTRIAL DE LA BAHIA;CALLE VALENCIA CON BOGOTA No 61 - 44
BOLIVAR;CARTAGENA;IE POLICARPA SALAVARRIETA;1010;830;1840;6;03LOC.3 INDUSTRIAL DE LA BAHIA;CALLE 70 SECTOR CENTRAL
BOLIVAR;CARTAGENA;IE MERCEDES ABREGO;9384;7804;17188;52;03LOC.3 INDUSTRIAL DE LA BAHIA;CR 82 SECT KALAMARY SAN FERNANDO
BOLIVAR;CARTAGENA;COL SUEÑOS Y OPORTUNIDADES JES;5414;4608;10022;31;03LOC.3 INDUSTRIAL DE LA BAHIA;NELSON MANDELA MZ J LOTE 11
BOLIVAR;CARTAGENA;IE MERCEDES ABREGO SEDE MEDELLIN;4366;3768;8134;25;03LOC.3 INDUSTRIAL DE LA BAHIA;SAN FERNANDO SECTOR MEDELLIN CALLE LAS NIEVES
BOLIVAR;CARTAGENA;I.E. CIUDADELA 2000;2798;2193;4991;15;03LOC.3 INDUSTRIAL DE LA BAHIA;Ciudadela 2000 Carrera 83 No. 9-100
BOLIVAR;CARTAGENA;I.E. SALVADOR MANDELA;3792;3220;7012;21;03LOC.3 INDUSTRIAL DE LA BAHIA;NELSON MANDELA CALLE LAS BRISAS SECTOR LOS OLIVOS
BOLIVAR;CARTAGENA;I.E. ROSEDAL;3291;2502;5793;18;03LOC.3 INDUSTRIAL DE LA BAHIA;EL EDUCADOR SECTOR ROSENDAL CALLE 5 N. 78 401
BOLIVAR;CARTAGENA;IE JHON F KENNEDY;6972;5853;12825;39;03LOC.3 INDUSTRIAL DE LA BAHIA;ET 3RA MZ 3 LOTE 1 BARRIO BLAS DE LEZO
BOLIVAR;CARTAGENA;INST FEMENINO PROMOCION SOCIAL;6853;5775;12628;38;03LOC.3 INDUSTRIAL DE LA BAHIA;CLL 25 NO 71-24 SOCORRO
BOLIVAR;CARTAGENA;I.E. NUESTRA SEÑORA DE LA CONSOLATA;4404;3756;8160;25;03LOC.3 INDUSTRIAL DE LA BAHIA;BLA D ELEZO AV. KENEDY No. 26-28
BOLIVAR;CARTAGENA;I.E. JUAN JOSE NIETO;4001;3543;7544;23;03LOC.3 INDUSTRIAL DE LA BAHIA;El Socorro Cll 25 71-24 Entrada Ppal
BOLIVAR;CARTAGENA;COLEGIO COMFAMILIAR;5803;4823;10626;32;03LOC.3 INDUSTRIAL DE LA BAHIA;CR103NO 35-151 MZ 9 LOTE 26 SN.JOSE CAMPANOS
BOLIVAR;CARTAGENA;ESC ANA MARIA PEREZ OTERO;6550;5445;11995;36;03LOC.3 INDUSTRIAL DE LA BAHIA;CLL 23B 77-15 PLAN 332 MZ 34 SOCORRO
BOLIVAR;CARTAGENA;IE PROM SOCIAL DE C/GENA SD LA CONSOLATA;1364;1115;2479;8;03LOC.3 INDUSTRIAL DE LA BAHIA;LA CONSOLATA SECTOR SANTA ISABEL MZA O LOTE 2
